recall_number,recall_date,make,model,year_range,affected_units,reason,link
REC-000012,18-Apr-16,ARBATH,500,,381,"There is a potential for interference of the wiring under the dashboard within the steering column, which may cause the wiring to wear out over time. There is a potential for interference of the wiring under the dashboard within the steering column, which may cause the wiring to wear out over time. What are the hazards? This may result in failure of exterior and instrument lights and increasing the potential of an accident should the car be driven at night.",https://www.vehiclerecalls.gov.au/recalls/rec-000012
REC-000021,18-Aug-20,AUDI,TT,2014 - 2019,"1,328","If the vehicle is involved in an accident, a bracket fitted on the vehicle body could collide with the fuel tank, resulting in damage to the fuel tank. If the vehicle is involved in an accident, a bracket fitted on the vehicle body could collide with the fuel tank, resulting in damage to the fuel tank. What are the hazards? If the fuel tank is damaged, fuel leaks and contacts with a hot surface, it could ignite and catch fire, increasing the risk of serious injury or death of vehicle occupants, other road users, bystanders and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-000021
REC-000026,5-Jul-20,AUDI,"A4, A5, A6, A7",2019 - 2020,29,"Moisture may enter via a gap in the housing of the starter-alternator, potentially causing the component to overheat. Moisture may enter via a gap in the housing of the starter-alternator, potentially causing the component to overheat. What are the hazards? If moisture enters the starter-alternator, this could cause the component to overheat. If the component overheats it may catch fire, posing a risk of injury to vehicle occupants, bystanders and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-000026
REC-000030,5-Nov-20,AUDI,"A1, A3, TT",2011 - 2012,"2,781","Due to a production fault, over time a crack in the transmission’s pressure accumulator can occur. Due to a production fault, over time a crack in the transmission’s pressure accumulator can occur. What are the hazards? If the pressure accumulator cracks, oil and pressure is lost in the hydraulic system of the gearbox. As a result, the transmission of engine power via the gearbox is interrupted. The experience of this symptom would be comparable to depressing the clutch in a vehicle fitted with a manual transmission. This could increase the risk of an accident and injury to vehicle occupants or other road users. In the event of a serious accident this may result in death.",https://www.vehiclerecalls.gov.au/recalls/rec-000030
REC-000031,6-May-20,AUDI,"A1, A3, TT",2007 - 2016,"10,372","Due to a production fault, over time a crack in the transmissions pressure accumulator can occur. Some vehicles were incorrectly assessed as not needing to be repaired. Due to a production fault, over time a crack in the transmissions pressure accumulator can occur. Some vehicles were incorrectly assessed as not needing to be repaired. What are the hazards? If the pressure accumulator cracks, oil and pressure is lost in the hydraulic system of the gearbox. As a result, the transmission of engine power via the gearbox is interrupted. The experience of this symptom would be comparable to depressing the clutch in a vehicle fitted with a manual transmission. This could increase the risk of an accident and injury to vehicle occupants or other road users. In the event of a serious accident this may result in death.",https://www.vehiclerecalls.gov.au/recalls/rec-000031
REC-000038,26-Feb-20,AUDI,A8,2009 - 2016,109,"When the hydraulic system for the power steering is under a high pressure load, or when the steering is in full lock, or if there are heavy vibrations due to uneven road surface, the hydraulic return hose for the power steering may leak. When the hydraulic system for the power steering is under a high pressure load, or when the steering is in full lock, or if there are heavy vibrations due to uneven road surface, the hydraulic return hose for the power steering may leak. What are the hazards? If the hydraulic power steering hose leaks, it could cause reduced or complete power steering failure. This may lead to hydraulic fluid leaking into the engine compartment and igniting a fire if it comes into contact with hot components. If this was to occur it could increase the likelihood of a crash with potential for injury to occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-000038
REC-000039,2-Dec-20,AUDI,"A8, S8",2011 - 2017,67,"The engine bay seal may become warped and come loose. If this occurs, engine vibrations may result in the seal making contact with hot components in the engine bay. The engine bay seal may become warped and come loose. If this occurs, engine vibrations may result in the seal making contact with hot components in the engine bay. What are the hazards? If the engine bay seal makes contact with hot components, there is a risk of it or other components scorching. This may result in a fire or smoking from the engine bay, which may cause an injury.",https://www.vehiclerecalls.gov.au/recalls/rec-000039
REC-000046,20-Mar-20,AUDI,Q7,2018 - 2019,5,"If the airbag is triggered in an accident, the fastener securing an air duct component in the curtain airbag may detach. This may cause the curtain airbag not to inflate sufficiently. If the airbag is triggered in an accident, the fastener securing an air duct component in the curtain airbag may detach. This may cause the curtain airbag not to inflate sufficiently. What are the hazards? If the airbag does not inflate sufficiently, there is an increased risk of injury to the occupant in the event of an accident.",https://www.vehiclerecalls.gov.au/recalls/rec-000046
REC-000047,4-Feb-21,AUDI,"RS6, Q7, SQ7",2020,19,"A connector may become detached from the crash sensor, which may delay the operation of the side airbag, curtain airbag and/or belt tensioner. A connector may become detached from the crash sensor, which may delay the operation of the side airbag, curtain airbag and/or belt tensioner. What are the hazards? In an accident resulting in the operation of the side airbag, curtain airbag and/or belt tensioner, any delay resulting from a detached connector, increases the risk of injury and/or death to vehicle occupants.",https://www.vehiclerecalls.gov.au/recalls/rec-000047
REC-000057,24-Nov-20,AUDI,Q5,2020,135,"Due to incorrect welding, the gap on the adjusting mechanism for the backrest of the front seats may be faulty. Due to incorrect welding, the gap on the adjusting mechanism for the backrest of the front seats may be faulty. What are the hazards? In the event of a rear collision, the backrest adjuster could break, increasing the risk of injury to vehicle occupants. In the event of a serious accident, this could result in death of a vehicle occupant.",https://www.vehiclerecalls.gov.au/recalls/rec-000057
